x,y,z,vx,vy,vz,force,label
0.088,-1.7431537324696934e-12,0.821,3.055112405457072e-05,-3.0420844311317594e-05,-4.110720755822889e-06,0,idle
0.08800012729626443,-1.267554221730853e-07,0.8209999828719885,2.0432640474210827e-05,-2.71313718342709e-05,-2.7440485333438154e-06,0,idle
0.08800021243219718,-2.3980290212806223e-07,0.8209999714384487,2.0284606025258585e-05,-2.6710137679843753e-05,-2.7242204584754887e-06,0,idle
0.08800029695132197,-3.510952376479478e-07,0.8209999600875268,2.027811487501849e-05,-2.6680395734566246e-05,-2.7233148039279604e-06,0,idle
0.0880003814434003,-4.6226364816400147e-07,0.8209999487403781,2.0277818463320832e-05,-2.6678427650345282e-05,-2.72324178239094e-06,0,idle
0.08800046593424378,-5.734238583904253e-07,0.8209999373935333,2.0277899387833783e-05,-2.6678354262091224e-05,-2.7232270244201154e-06,0,idle
0.0880005504254243,-6.845837626742237e-07,0.8209999260467509,2.0277988868573393e-05,-2.6678413536125046e-05,-2.72321997731728e-06,0,idle
0.08800063491697778,-7.957439141149281e-07,0.8209999146999969,2.027806542901321e-05,-2.6678485204172316e-05,-2.723216478274637e-06,0,idle
0.08800071940885014,-9.06904363953499e-07,0.820999903353258,2.0278130313664768e-05,-2.667856043725234e-05,-2.7232156404270706e-06,0,idle
0.08800080390099288,-1.0180651273615078e-06,0.8209998920065225,2.027818576589703e-05,-2.667863809227921e-05,-2.7232169196752272e-06,0,idle
0.08800088839336677,-1.129226214348325e-06,0.8209998806597812,2.0278233665170073e-05,-2.6678717655798118e-05,-2.7232198919168995e-06,0,idle
0.08800097288594012,-1.2403876331143371e-06,0.820999869313028,2.027827552075181e-05,-2.667879874416556e-05,-2.7232242185853184e-06,0,idle
0.08800105737868788,-1.3515493893582382e-06,0.8209998579662569,2.027831254070825e-05,-2.6678881052298532e-05,-2.7232296288598625e-06,0,idle
0.08800114187158993,-1.4627114887056582e-06,0.8209998466194631,2.0278345691591104e-05,-2.6678964336242022e-05,-2.723235906076744e-06,0,idle
0.08800122636463013,-1.5738739351708327e-06,0.8209998352726426,2.027837574659103e-05,-2.6679048400802226e-05,-2.7232428768699606e-06,0,idle
0.0880013108577955,-1.6850367314863264e-06,0.8209998239257938,2.0278403324439816e-05,-2.667913308982555e-05,-2.7232504025580026e-06,0,idle
0.08800139535107579,-1.796199881142407e-06,0.8209998125789136,2.027842892016651e-05,-2.667921827837791e-05,-2.723258372164058e-06,0,idle
0.08800147984446274,-1.9073633854905106e-06,0.820999801232,2.0278452929771726e-05,-2.6679303866501168e-05,-2.723266696920151e-06,0,idle
0.08800156433794976,-2.0185272466514464e-06,0.8209997898850516,2.027847567004507e-05,-2.6679389774213315e-05,-2.723275305771742e-06,0,idle
0.08800164883153153,-2.1296914657236427e-06,0.8209997785380674,2.027849739461998e-05,-2.667947593754287e-05,-2.7232841419147433e-06,0,idle
0.08800173332520378,-2.240856043633489e-06,0.8209997671910468,2.0278518306260054e-05,-2.6679562305301744e-05,-2.723293159870413e-06,0,idle
0.08800181781896312,-2.3520209816354004e-06,0.8209997558439879,2.0278538567215864e-05,-2.6679648836520075e-05,-2.7233023232559826e-06,0,idle
0.0880019023128069,-2.4631862800393555e-06,0.8209997444968912,2.0278558307325953e-05,-2.6679735498439486e-05,-2.723311602964369e-06,0,idle
0.08800198680673299,-2.5743519396607375e-06,0.8209997331497558,2.0278577630488178e-05,-2.667982226483678e-05,-2.7233209757255267e-06,0,idle
0.08800207130073957,-2.685517960430155e-06,0.8209997218025815,2.027859661980545e-05,-2.6679909114744026e-05,-2.723330422891029e-06,0,idle
0.08800215579482529,-2.7966843435561596e-06,0.8209997104553675,2.0278615341743947e-05,-2.6679996031374894e-05,-2.7233399295695472e-06,0,idle
0.08800224028898909,-2.907851088756582e-06,0.8209996991081142,2.0278633849575198e-05,-2.668008300130767e-05,-2.7233494838313436e-06,0,idle
0.08800232478322977,-3.0190181960954947e-06,0.8209996877608207,2.0278652185789486e-05,-2.6680170013806238e-05,-2.723359076129857e-06,0,idle
0.088002409277547,-3.130185666032849e-06,0.8209996764134875,2.0278670384505942e-05,-2.668025706026654e-05,-2.723368698838604e-06,0,idle
0.08800249377194004,-3.24135349888018e-06,0.8209996650661141,2.027868847286213e-05,-2.6680344133805693e-05,-2.723378345839196e-06,0,idle
0.08800257826640843,-3.3525216943028907e-06,0.8209996537187011,2.027870647276269e-05,-2.6680431228937584e-05,-2.723388012257648e-06,0,idle
0.0880026627609519,-3.4636902528827737e-06,0.8209996423712478,2.0278724401578353e-05,-2.66805183412499e-05,-2.723397694177803e-06,0,idle
0.08800274725557002,-3.57485917413388e-06,0.8209996310237528,2.027874227330641e-05,-2.6680605467233145e-05,-2.7234073884694694e-06,0,idle
0.0880028317502627,-3.6860284584754994e-06,0.8209996196762188,2.027876009911382e-05,-2.668069260406607e-05,-2.7234170926419457e-06,0,idle
0.08800291624502947,-3.797198105975054e-06,0.8209996083286436,2.0278777887873796e-05,-2.668077974948387e-05,-2.723426804670749e-06,0,idle
0.08800300073987041,-3.908368116652914e-06,0.8209995969810284,2.027879564678623e-05,-2.6680866901693113e-05,-2.7234365229803316e-06,0,idle
0.08800308523478532,-4.019538490195569e-06,0.820999585633372,2.0278813381579776e-05,-2.668095405925046e-05,-2.7234462462705613e-06,0,idle
0.08800316972977425,-4.13070922717087e-06,0.8209995742856753,2.0278831096759075e-05,-2.668104122099628e-05,-2.7234559735198535e-06,0,idle
