x,y,z,vx,vy,vz,force,label
0.088,-1.7431537324696934e-12,0.821,3.055112405457072e-05,-3.0420844311317597e-05,-4.110720755822889e-06,13.121041546540507,retreat
0.0880001272962644,-1.267554221730853e-07,0.8209999828719885,1.7644258858599482e-05,-2.719484238597681e-05,-2.239718797377895e-06,12.036016592087552,retreat
0.0880002008139403,-2.400673486268916e-07,0.8209999735398242,-0.0233946753276363,-2.488318703869719e-05,0.0042235783262847,12.371322003386704,retreat
0.0879027212534045,-3.436394609691655e-07,0.8210175620933758,-0.0444712097920582,-2.5715367118647894e-05,0.0080160405748649,17.176197564319544,retreat
0.087717418233009,-4.505774907453732e-07,0.8210509271891564,-0.0634459742927091,-2.794307974493456e-05,0.0114094399821563,14.840877964069897,retreat
0.0874530471810552,-5.666826963852839e-07,0.8210983950874221,-0.0805379839772278,-2.4204053798344866e-05,0.0144354214557456,10.903839241098508,retreat
0.0871174516374153,-6.671759861756219e-07,0.8211584274927444,-0.0959187676401868,-2.5976704258798692e-05,0.0171234962289169,13.74095758806489,retreat
0.0867177609932572,-7.74955770389041e-07,0.8212296120063527,-0.1097686866377008,-2.777306288101385e-05,0.019502742249706,9.822659834405382,retreat
0.0862603535296204,-8.901175845627462e-07,0.8213106594608939,-0.1222508168965926,-2.3531595135363705e-05,0.0216005614682578,16.334229518546074,retreat
0.0857509283295948,-9.876363412239406e-07,0.8214003963525207,-0.1334857808113839,-2.472605392910467e-05,0.0234416747721903,13.867384531112158,retreat
0.0851946821399282,-1.090051806716384e-06,0.8214977535506408,-0.1436068042829846,-2.5868819846588805e-05,0.025049971266181,10.670073175044369,retreat
0.0845962567415727,-1.1971484860444689e-06,0.8216017622184056,-0.1527261420651545,-2.6792230067121736e-05,0.0264471521293292,10.576653429881757,retreat
0.0839598262955039,-1.308015161405676e-06,0.8217115445337787,-0.160945080082586,-2.779917604591585e-05,0.0276536655564556,9.50664830923076,retreat
0.0832891430012266,-1.4229977828662229e-06,0.8218263082375203,-0.168354913280429,-2.8601466230855832e-05,0.0286875645272952,14.712546222781235,retreat
0.0825875787031057,-1.541243358903626e-06,0.82194533654324,-0.1750382500311274,-2.941586178827547e-05,0.0295658505079885,13.110909609419128,retreat
0.0818581610549034,-1.6627948743865249e-06,0.8220679836009367,-0.1810762304316706,-4.174826387123565e-05,0.0303039765043615,11.10655228837091,retreat
0.0811035796006387,-1.8352129730054373e-06,0.8221936678378297,-0.1865190258230269,-3.222188690912511e-05,0.0309157213153261,12.254782866324506,retreat
0.0803263148747077,-1.9682014563943534e-06,0.8223218653691765,-0.1914471944692362,-3.4616723753951866e-05,0.0314139964797638,15.034542690507807,retreat
0.0795285116618906,-2.110972757133799e-06,0.8224521056262875,-0.1958518204353337,-1.4476817412842474e-05,0.0318092991108,10.145382487681431,retreat
0.0787123520655759,-2.170572073951845e-06,0.8225839628774227,-0.1998172680629836,-1.2905886809945268e-06,0.0321123395459455,12.088838855084761,retreat
0.0778796665318177,-2.175739026476608e-06,0.8227170552520229,-0.2034118912384976,4.107738122242225e-06,0.0323336886832996,9.538876204507961,retreat
0.077032000577653,-2.1586058248740206e-06,0.8228510442428555,-0.2065255897501207,-3.2413669642155016e-05,0.0324794205255323,12.181993102775385,retreat
0.0761713588915238,-2.2923779669102764e-06,0.8229856193942301,-0.2094435561118662,-3.097927024710876e-05,0.032561054132062,14.66891521087891,retreat
0.0752985570755775,-2.4202117884680582e-06,0.8231205133564962,-0.2120777400620741,-2.7507595861961432e-05,0.0325835329521243,13.400009078491111,retreat
0.0744147779353747,-2.533705999004868e-06,0.8232554815027298,-0.2144505006197781,-3.179044602263489e-05,0.0325524119648248,11.155006811703641,retreat
0.0735211110872134,-2.6648588405795182e-06,0.8233903022471415,-0.216598452720893,-2.8214670381420363e-05,0.0324744735571445,14.290747895987163,retreat
0.0726184935454154,-2.781248320942784e-06,0.8235247820668845,-0.2185384638890188,-2.4655541848753505e-05,0.0323540283008307,16.73659535687276,retreat
0.0717077920198993,-2.882947276320707e-06,0.8236587453077584,-0.2202852965078497,-2.7831451996941864e-05,0.0321949742171969,12.15512127307967,retreat
0.0707898116890467,-2.9977414752561583e-06,0.8237920324713052,-0.2218701732155547,-2.427127053576821e-05,0.0320026497678274,8.670703898401428,retreat
0.0698652276014639,-3.0978448317177244e-06,0.8239245061153082,-0.2232956977403648,-2.662208101602501e-05,0.0317792193540459,11.845160307786955,retreat
0.0689347039461699,-3.20764398359879e-06,0.8240560377941586,-0.2245927132117078,-2.274678296643765e-05,0.0315294988401184,12.979734054381716,retreat
0.0679987763648576,-3.301456129241149e-06,0.824186518936032,-0.2257570647243688,-2.369631170180263e-05,0.0312546379996189,13.647274820433667,retreat
0.0670579978070751,-3.39919093905916e-06,0.8243158457755045,-0.2268078228670464,-2.3910965665165967e-05,0.0309579631416251,9.987011796965238,retreat
0.0661128417380322,-3.497825704979376e-06,0.824443928280973,-0.2277354836935288,-2.933069021681313e-05,0.0306450463960068,10.223815474139773,retreat
0.0651638211935409,-3.6193729763982095e-06,0.8245706994644069,-0.228606830523277,-1.7125681606575102e-05,0.0303080059125682,13.271953848045015,retreat
0.0642111709733966,-3.6901009198079336e-06,0.8246960597391956,-0.2294087703015221,-9.773151196423069e-06,0.0299616458795142,18.19531049124808,retreat
0.0632551803491136,-3.730504052675008e-06,0.8248199706151956,-0.2301142617973246,-3.248266084181066e-06,0.0296047175309811,11.873016646799154,retreat
